date,temperature_max,temperature_min,rainfall_mm,humidity,cloud_cover,weather_condition,crop_name,season,is_irrigated,crop_type,disease,pest
2023-01-01,29.9,24.0,0.0,73.6,76.3,Clear,Apple,Rabi,Yes,Fruit,Leaf Spot,Mealybugs
2023-01-01,44.8,31.8,49.9,70.1,70.3,Rainy,Tomato,Rabi,No,Vegetable,Sheath Blight,Scale Insects
2023-01-01,40.6,30.0,0.0,84.5,45.7,Partly Cloudy,Rice,Kharif,Yes,Cereal,Bacterial Blight,Thrips
2023-01-01,39.5,34.3,0.0,69.7,53.8,Clear,Chili,Kharif,No,Vegetable,Downy Mildew,Cutworms
2023-01-01,44.9,29.9,0.0,58.3,97.6,Partly Cloudy,Tomato,Rabi,No,Vegetable,Anthracnose,Cutworms
2023-01-01,32.7,22.7,0.0,78.9,23.6,Clear,Wheat,Rabi,Yes,Cereal,Rust,Whiteflies
2023-01-01,22.6,10.1,0.0,50.6,10.6,Partly Cloudy,Tomato,Rabi,No,Vegetable,None,None
2023-01-01,21.6,9.5,0.0,68.2,42.9,Cloudy,Banana,Kharif,Yes,Fruit,None,None
2023-01-01,37.6,26.5,0.0,62.2,36.6,Partly Cloudy,Tomato,Rabi,No,Vegetable,Downy Mildew,Armyworms
2023-01-01,27.4,18.5,0.0,53.9,84.6,Rainy,Potato,Rabi,Yes,Vegetable,Blister Blight,Scale Insects
2023-01-01,20.6,5.9,0.0,59.9,27.0,Thunderstorm,Chili,Kharif,No,Vegetable,None,None
2023-01-01,24.8,14.0,20.5,72.8,74.6,Partly Cloudy,Potato,Rabi,Yes,Vegetable,Leaf Spot,Mealybugs
2023-01-01,37.6,31.3,0.0,78.8,6.2,Clear,Apple,Rabi,Yes,Fruit,Bacterial Blight,Aphids
2023-01-01,37.5,32.0,0.0,61.2,93.0,Thunderstorm,Grapes,Rabi,Yes,Fruit,Anthracnose,Armyworms
2023-01-01,24.7,15.8,30.4,59.3,51.3,Clear,Chili,Kharif,No,Vegetable,Fusarium Wilt,None
2023-01-01,38.2,24.8,29.7,67.4,94.2,Rainy,Apple,Rabi,Yes,Fruit,Blister Blight,Scale Insects
2023-01-01,28.1,15.3,0.0,80.3,53.8,Thunderstorm,Sugarcane,Kharif,Yes,Commercial,Sigatoka,Thrips
2023-01-01,32.9,25.6,0.0,82.7,45.7,Clear,Banana,Kharif,Yes,Fruit,Late Blight,Thrips
2023-01-01,38.1,29.6,0.0,60.9,58.5,Thunderstorm,Cotton,Kharif,No,Commercial,Downy Mildew,Cutworms
2023-01-01,26.6,20.2,0.0,57.7,62.4,Thunderstorm,Sunflower,Kharif,No,Oilseed,Leaf Spot,Mealybugs
2023-01-01,25.2,16.8,0.0,58.5,27.4,Rainy,Maize,Kharif,No,Cereal,None,None
2023-01-01,32.7,23.0,0.0,46.9,81.8,Clear,Apple,Rabi,Yes,Fruit,Blister Blight,Mealybugs
2023-01-01,36.4,30.8,0.0,65.8,35.0,Rainy,Apple,Rabi,Yes,Fruit,Downy Mildew,Cutworms
2023-01-01,29.0,21.5,0.0,84.5,39.8,Clear,Barley,Rabi,Yes,Cereal,Late Blight,Whiteflies
2023-01-01,23.1,16.5,19.3,44.0,59.6,Cloudy,Carrot,Rabi,Yes,Vegetable,None,None
2023-01-01,36.2,26.4,0.0,46.3,82.2,Cloudy,Rice,Kharif,Yes,Cereal,Downy Mildew,Cutworms
2023-01-01,42.8,33.4,0.0,40.0,3.1,Partly Cloudy,Maize,Kharif,No,Cereal,Anthracnose,Armyworms
2023-01-01,23.9,17.8,6.3,85.8,18.5,Thunderstorm,Rice,Kharif,Yes,Cereal,Rust,Thrips
2023-01-01,40.8,31.1,0.0,64.5,40.3,Thunderstorm,Potato,Rabi,Yes,Vegetable,Anthracnose,Armyworms
